DATE,EVENT
22/12/14,BEFOREXMAS
23/12/14,BEFOREXMAS
24/12/14,BEFOREXMAS
2/1/15,AFTERXMAS
3/1/15,AFTERXMAS
4/1/15,AFTERXMAS
5/1/15,AFTERXMAS
6/1/15,AFTERXMAS
7/1/15,AFTERXMAS
8/1/15,AFTERXMAS
9/1/15,AFTERXMAS
11/12/15,BEFOREXMAS
12/12/15,BEFOREXMAS
13/12/15,BEFOREXMAS
14/12/15,BEFOREXMAS
15/12/15,BEFOREXMAS
16/12/15,BEFOREXMAS
17/12/15,BEFOREXMAS
18/12/15,BEFOREXMAS
19/12/15,BEFOREXMAS
20/12/15,BEFOREXMAS
21/12/15,BEFOREXMAS
22/12/15,BEFOREXMAS
23/12/15,BEFOREXMAS
24/12/15,BEFOREXMAS
2/1/16,AFTERXMAS
3/1/16,AFTERXMAS
4/1/16,AFTERXMAS
5/1/16,AFTERXMAS
6/1/16,AFTERXMAS
7/1/16,AFTERXMAS
8/1/16,AFTERXMAS
9/1/16,AFTERXMAS
11/12/16,BEFOREXMAS
12/12/16,BEFOREXMAS
13/12/16,BEFOREXMAS
14/12/16,BEFOREXMAS
15/12/16,BEFOREXMAS
16/12/16,BEFOREXMAS
17/12/16,BEFOREXMAS
18/12/16,BEFOREXMAS
19/12/16,BEFOREXMAS
20/12/16,BEFOREXMAS
21/12/16,BEFOREXMAS
22/12/16,BEFOREXMAS
23/12/16,BEFOREXMAS
24/12/16,BEFOREXMAS
2/1/17,AFTERXMAS
3/1/17,AFTERXMAS
4/1/17,AFTERXMAS
5/1/17,AFTERXMAS
6/1/17,AFTERXMAS
7/1/17,AFTERXMAS
8/1/17,AFTERXMAS
9/1/17,AFTERXMAS
11/12/17,BEFOREXMAS
12/12/17,BEFOREXMAS
13/12/17,BEFOREXMAS
14/12/17,BEFOREXMAS
15/12/17,BEFOREXMAS
16/12/17,BEFOREXMAS
17/12/17,BEFOREXMAS
18/12/17,BEFOREXMAS
19/12/17,BEFOREXMAS
20/12/17,BEFOREXMAS
21/12/17,BEFOREXMAS
22/12/17,BEFOREXMAS
23/12/17,BEFOREXMAS
24/12/17,BEFOREXMAS
2/1/18,AFTERXMAS
3/1/18,AFTERXMAS
4/1/18,AFTERXMAS
5/1/18,AFTERXMAS
